Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
28/01/2019,"COSHEEN, CORBALLY, KILKEE",,Clare,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/10/2014,"6 Balbradagh Park, Robinstown, Navan",,Meath,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2014,"APT 37, STRAND PALACE, YOUGHAL",,Cork,"€58,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/08/2018,"7 TUSKAR COURTYARD, ARKLOW MARINA VILLAGE, NORTH QUAY",,Wicklow,"€199,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/03/2010,"82 Rossvale, Portlaoise",,Laois,"€112,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/09/2020,"2B GARRYDUFF DR, CASTLEBAR, MAYO",,Mayo,"€134,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/05/2013,"'Capel View', Kennel, Youghal",,Cork,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2016,"APT 9, 10 NELSON ST, DUBLIN 7",Dublin 7,Dublin,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2013,"CLODIAGH COTTAGE, CULLAUN INISTIOGE, THOMASTOWN",,Kilkenny,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2011,"Bantis, Cloughjordan",,Tipperary,"€133,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2015,"BRIGIDINE SISTERS, PAULSTOWN, CO KILKENNY",,Kilkenny,"€408,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2015,"8 GLIN PARK, FAIRFIELD, DUBLIN 17",Dublin 17,Dublin,"€191,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/04/2017,"24A YEATS VILLAGE, BALLINODE, CO SLIGO",,Sligo,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2014,"12 RADHARC NA COILLE, RATHCOOLE, MALLOW",,Cork,"€58,500.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
21/09/2011,"79 Cornmill Park, Ballymote",,Sligo,"€59,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/03/2014,"4 NUEANNA COURT, FRESHFORD, CO. KILKENNY",,Kilkenny,"€150,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
24/06/2015,"59 RIALTO COURT, RIALTO, DUBLIN 8",Dublin 8,Dublin,"€103,145.42",Yes,No,Second-Hand Dwelling house /Apartment,
23/03/2021,"18 ATLANTIC WAY APTS, BUNDORAN, DONEGAL",,Donegal,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"2 THE BELFRY, COCK HILL, CAVAN",,Cavan,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2013,"BALLYVAREN, KILDIMO, CO LIMERICK",,Limerick,"€183,500.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2018,"VILLA MARIA, SOUTH STRAND, SKERRIES",,Dublin,"€925,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2010,"Millockstown, Ardee",,Louth,"€10,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
12/02/2021,"56 CASTLE VIEW, DUNBOYNE, CO MEATH",,Meath,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/03/2015,"CAPPANAGRAIGUE, CLONASLEE, LAOIS",,Laois,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2021,"SEABANK, CASTLEBELLINGHAM, LOUTH",,Louth,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/07/2012,"4 Talbot's Grove, Freshford Road, kilkenny",,Kilkenny,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/09/2018,"APT 2, 2 MOREHAMPTON RD, DUBLIN 4",Dublin 4,Dublin,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/07/2015,"8 Seachnall Abbey, Dunshaughlin",,Meath,"€310,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/04/2017,"112 LISMORE RD, KIMMAGE, DUBLIN 12",Dublin 12,Dublin,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2011,"2 The Greens, Ballyeagh, Ballybunion",,Kerry,"€83,905.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
31/07/2014,"12 SPAWELL CRESCENT, SPAWELL RD, WEXFORD",,Wexford,"€137,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/01/2011,"4 Pollerton Manor, Pllerton Little, Carlow",,Carlow,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2019,"147 PARK DRIVE AVENUE, CASTLEKNOCK, DUBLIN 15",,Dublin,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
