Not_Full_Market_Price,Year_of_Sale,Location,New_Property_VAT_Exclusive,Properties_purchased_each_year,Wealth_in_Ireland,Ireland_Mortgage_Rates,Log_Price
0,2014,Galway,0,847,176960.0,0.042,12.230765258120545
0,2015,Dublin 15,0,998,180068.0,0.0405,12.013700752882718
0,2010,Dublin,0,413,161348.0,0.0402,13.473020249017498
0,2017,Kerry,1,1081,199406.0,0.0344,11.695247021764184
0,2015,Galway,0,998,180068.0,0.0405,12.367340793126296
0,2021,Dublin,0,1060,212773.0,0.028,13.071070083016778
0,2012,Galway,0,485,152843.0,0.0433,11.695247021764184
0,2018,Waterford,0,1122,210015.0,0.0321,12.206072645530174
0,2018,Meath,1,1122,210015.0,0.0321,12.501432666949755
0,2017,Dublin 24,0,1081,199406.0,0.0344,12.100712129872347
0,2010,Cork,0,413,161348.0,0.0402,12.798017320580957
1,2013,Dublin 17,0,547,162434.0,0.0438,11.56171562913966
0,2012,Laois,0,485,152843.0,0.0433,10.714417768752456
1,2015,Galway,0,998,180068.0,0.0405,11.289781913656018
0,2021,Limerick,0,1060,212773.0,0.028,11.407564949312402
0,2014,Dublin 1,0,847,176960.0,0.042,12.254862809699606
0,2018,Laois,0,1122,210015.0,0.0321,11.911701584927597
0,2018,Dublin 15,1,1122,210015.0,0.0321,13.217673557208654
0,2014,Meath,0,847,176960.0,0.042,12.936033799212835
0,2019,Dublin 13,0,1154,215555.0,0.0302,11.951180395901384
0,2010,Dublin,1,413,161348.0,0.0402,12.095141084822892
0,2017,Cork,0,1081,199406.0,0.0344,11.652687407345388
0,2021,Meath,1,1060,212773.0,0.028,12.77246215421696
0,2019,Kildare,1,1154,215555.0,0.0302,12.721288617597457
0,2015,Louth,0,998,180068.0,0.0405,12.323855681186558
0,2019,Dublin 15,0,1154,215555.0,0.0302,12.837344422372032
0,2011,Cork,0,357,155962.0,0.0442,12.524526376648708
0,2018,Dublin 9,1,1122,210015.0,0.0321,12.833211879208479
0,2013,Galway,0,547,162434.0,0.0438,11.790557201568507
0,2013,Dublin,0,547,162434.0,0.0438,12.628067055589549
0,2013,Sligo,0,547,162434.0,0.0438,11.082142548877775
0,2018,Dublin 18,0,1122,210015.0,0.0321,12.721885810807203
0,2015,Dublin 13,0,998,180068.0,0.0405,13.091904169919621
0,2015,Mayo,0,998,180068.0,0.0405,11.211820372186306
0,2015,Cork,0,998,180068.0,0.0405,12.206072645530174
0,2014,Waterford,0,847,176960.0,0.042,12.429216196844383
0,2018,Dublin 18,0,1122,210015.0,0.0321,12.796633237315017
